City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,la'ie,21.6477,-157.9253,80.56400000000004,78,39,3.58,US,1716786403
188,akureyri,65.6835,-18.0878,52.57400000000001,71,100,1.7,IS,1716786403
189,touros,-5.1989,-35.4608,75.05600000000003,90,99,5.28,BR,1716786403
190,al jawf,29.5,38.75,79.57400000000001,15,0,1.66,SA,1716786403
191,sinabang,2.4803,96.3801,86.61200000000005,76,100,0.78,ID,1716786403
192,bou hanifia el hamamat,35.3147,-0.0504,68.59400000000008,56,50,0.92,DZ,1716786404
193,mandalgovi,45.7625,106.2708,68.93600000000006,20,22,2.25,MN,1716786322
194,newman,37.3138,-121.0208,70.142,68,0,0.89,US,1716786139
195,stanley,54.868,-1.6985,50.288000000000046,95,20,2.06,GB,1716786404
196,rio gallegos,-51.6226,-69.2181,17.654000000000053,93,20,2.06,AR,1716785885
197,hasaki,35.7333,140.8333,73.292,87,100,11.96,JP,1716786393
198,pacasmayo,-7.4006,-79.5714,64.58000000000004,86,23,4.36,PE,1716786404
199,suleja,9.1758,7.1808,72.10400000000006,92,82,1.39,NG,1716786405
200,aasiaat,68.7098,-52.8699,21.541999999999994,87,56,1.62,GL,1716786405
201,okhotsk,59.3833,143.3,46.25600000000003,84,100,4.14,RU,1716786405
202,saint-philippe,-21.3585,55.7679,79.10600000000002,87,62,4.4,RE,1716786405
203,gordon,34.5004,-84.8666,78.35,89,75,3.09,US,1716786405
204,chengde,40.9725,117.9361,76.46000000000008,23,1,2.32,CN,1716786405
205,kununurra,-15.7667,128.7333,91.38200000000002,31,0,7.72,AU,1716786405
206,kargil,34.5667,76.1,52.19600000000005,28,0,0.85,IN,1716786227
207,codrington,-38.2667,141.9667,65.13800000000005,49,6,3.67,AU,1716786406
208,pimentel,-6.8367,-79.9342,64.68800000000005,82,0,3.6,PE,1716786406
209,sapri,40.0751,15.6296,64.11200000000005,77,30,1.81,IT,1716786406
210,salinopolis,-0.6136,-47.3561,78.62000000000006,87,76,4.05,BR,1716786338
211,berezovyy,51.6667,135.7,49.891999999999996,62,98,5.64,RU,1716786406
212,nemuro,43.3236,145.575,50.97200000000004,99,100,10.62,JP,1716786406
213,luganville,-15.5333,167.1667,77.46800000000009,83,98,4.7,VU,1716786406
214,ribeira grande,38.5167,-28.7,66.7760000000001,86,100,4.02,PT,1716786407
215,impfondo,1.6381,18.0667,71.43800000000005,98,84,0.4,CG,1716786407
216,amparafaravola,-17.5833,48.2167,61.23200000000001,85,38,1.68,MG,1716786407
217,island harbour,50.724,-1.2758,54.932000000000016,77,74,0.45,GB,1716786407
218,embalenhle,-26.5333,29.0667,45.89600000000005,46,0,0.85,ZA,1716786407
219,deniliquin,-35.5333,144.9667,63.62600000000009,37,0,1.71,AU,1716786407
220,shanhaiguan,39.9988,119.7564,82.43600000000006,19,1,3.62,CN,1716786408
221,springs,-26.25,28.4,52.43000000000004,66,9,1.62,ZA,1716786408
222,west island,-12.1568,96.8225,82.13000000000004,81,14,7.25,CC,1716786408
223,huarmey,-10.0681,-78.1522,63.662000000000056,90,9,4.39,PE,1716786408
224,big spring,32.2504,-101.4787,78.24199999999999,17,0,3.09,US,1716786126
225,leua,48.2156,18.6071,60.728000000000065,83,94,1.96,SK,1716786408
226,chadron,42.8294,-102.9999,54.96800000000009,81,40,3.09,US,1716786409
227,kidal,18.4411,1.4078,90.78800000000004,24,0,3.1,ML,1716786409
228,richmond,37.5538,-77.4603,68.66600000000001,95,40,2.06,US,1716786215
229,hoa binh,20.8133,105.3383,88.95200000000008,66,100,0.58,VN,1716786341
230,higuera de zaragoza,25.95,-109.2833,78.18800000000005,61,12,4.14,MX,1716786409
231,avare,-23.0986,-48.9258,58.11800000000009,97,100,3.49,BR,1716786409
232,frankfort,-27.2667,28.4833,46.148000000000025,45,0,0.72,ZA,1716786409
233,sainyabuli,19.25,101.75,91.43600000000006,57,83,1.53,LA,1716786410
234,remire-montjoly,4.9167,-52.2667,77.03600000000007,100,75,0.0,GF,1716786410
235,hotan,37.0997,79.9269,76.24400000000007,17,60,9.84,CN,1716786410
236,mount gambier,-37.8333,140.7667,67.04600000000005,45,48,3.83,AU,1716786410
237,acapulco de juarez,16.8634,-99.8901,84.02000000000007,74,20,2.57,MX,1716786410
238,carnarvon,-24.8667,113.6333,80.65400000000005,30,1,1.88,AU,1716786410
239,san luis,-33.295,-66.3356,36.75200000000008,83,54,2.97,AR,1716786411
240,fale old settlement,-9.3852,-171.2468,85.1,76,68,6.11,TK,1716786411
241,boca suno,-0.7167,-77.1333,71.07800000000006,99,92,0.75,EC,1716786411
242,raja,8.4596,25.678,75.34400000000008,66,77,1.59,SS,1716786411
243,tralee,52.2704,-9.7026,47.498000000000026,93,95,2.67,IE,1716786412
244,carlisle,40.2015,-77.1889,71.18600000000006,89,100,2.55,US,1716786400
245,polyarnyy,69.1989,33.4478,45.860000000000085,84,99,5.45,RU,1716786412
246,plattsmouth,41.0114,-95.8822,66.99199999999999,78,0,3.6,US,1716786412
247,nogliki,51.8333,143.1667,39.34400000000007,94,85,9.83,RU,1716786306
248,katsuura,35.1333,140.3,71.61800000000008,91,100,9.58,JP,1716786296
249,santa terezinha,-29.9002,-50.0904,61.79000000000002,80,100,6.43,BR,1716786412
250,las palmas,28.4204,-14.0131,63.391999999999996,77,40,7.72,ES,1716786413
251,thongwa,16.7619,96.5278,80.76200000000006,78,95,8.86,MM,1716786278
252,homer,59.6425,-151.5483,51.674000000000014,78,100,0.0,US,1716786413
253,prado,-17.3411,-39.2208,71.2760000000001,90,3,1.95,BR,1716786327
254,palmas,-10.2128,-48.3603,71.47400000000002,60,20,2.06,BR,1716786237
255,haiku-pauwela,20.9219,-156.3051,76.22600000000008,74,40,6.17,US,1716786413
256,cidreira,-30.1811,-50.2056,62.708000000000006,78,100,6.36,BR,1716786159
257,wainwright,52.839,-110.8572,49.33399999999999,88,99,1.84,CA,1716786414
258,gazli,40.1333,63.45,72.266,14,0,8.66,UZ,1716786304
259,ajaccio,42.0,8.9167,55.45400000000005,82,0,2.57,FR,1716786300
260,saint-pierre,-21.3393,55.4781,79.17800000000007,83,75,3.6,RE,1716786414
261,brookings,44.3114,-96.7984,60.11600000000001,90,100,3.09,US,1716786220
262,mejit,10.2753,170.8646,82.4,82,95,7.8,MH,1716786414
263,crucecita,-28.95,-58.9833,48.992,73,100,2.96,AR,1716786415
264,port douglas,-16.4833,145.4667,75.66800000000009,80,100,5.5,AU,1716786415
265,dapa,9.7594,126.0531,84.23600000000008,78,100,6.97,PH,1716786415
266,vila velha,-20.3297,-40.2925,71.54600000000005,97,75,1.54,BR,1716786174
267,iskateley,67.6803,53.1512,30.02000000000006,79,100,8.94,RU,1716786415
268,suva,-18.1416,178.4415,74.67800000000007,100,75,3.09,FJ,1716786415
269,klaksvik,62.2266,-6.589,50.918000000000085,92,100,4.62,FO,1716786415
270,figuig (centre),32.1089,-1.2286,71.924,23,0,4.26,MA,1716786416
271,mahibadhoo,3.7833,72.9667,83.93000000000004,80,100,6.16,MV,1716786416
272,bredasdorp,-34.5322,20.0403,53.13200000000002,86,0,1.15,ZA,1716786416
273,taksimo,56.3444,114.8794,74.08399999999999,22,43,3.77,RU,1716786416
274,auki,-8.7676,160.7034,85.892,69,71,0.54,SB,1716786416
275,trincomalee,8.5711,81.2335,87.40400000000005,69,100,10.76,LK,1716786416
276,semirara,12.0697,121.3986,84.48800000000004,75,100,7.21,PH,1716786417
277,pelabuhanratu,-6.9875,106.5514,85.49600000000005,74,51,3.11,ID,1716786254
278,paradip garh,20.3167,86.6167,92.10200000000007,57,100,6.39,IN,1716786417
279,petawawa,45.9001,-77.3328,58.78399999999999,81,100,1.72,CA,1716786163
280,saint croix,17.7397,-64.7388,79.95200000000008,89,20,2.06,VI,1716786417
281,selkirk,50.1436,-96.8845,53.168000000000085,80,60,2.36,CA,1716786417
282,humaita,-7.5061,-63.0208,74.24600000000005,82,100,1.42,BR,1716786204
283,east london,-33.0153,27.9116,64.23800000000004,69,78,4.71,ZA,1716786418
284,cuyo,10.8525,121.0086,85.96400000000003,71,68,3.37,PH,1716786418
285,mvurwi,-17.0333,30.85,50.648000000000025,79,39,1.61,ZW,1716786418
286,dryden,49.7833,-92.7503,42.458000000000006,87,25,1.54,CA,1716786418
287,kalix,65.853,23.1565,52.754000000000055,65,53,2.92,SE,1716786418
288,dame-marie,18.5667,-74.4167,80.42000000000006,85,32,3.47,HT,1716786418
289,vydrino,51.485,104.8461,56.588000000000044,58,59,4.93,RU,1716786418
290,ta`u,-14.2336,-169.5144,83.10200000000007,79,86,4.26,AS,1716786419
291,laojunmiao,39.8333,97.7333,73.09400000000008,28,100,12.48,CN,1716786252
292,phan rang-thap cham,11.5667,108.9833,95.64800000000002,51,80,4.64,VN,1716786419
293,san fernando de apure,7.8878,-67.4724,74.55200000000008,97,100,1.43,VE,1716786420
294,aztec,36.8222,-107.9929,63.96800000000009,50,0,3.49,US,1716786420
295,taitung city,22.7583,121.1444,88.07000000000006,89,75,7.2,TW,1716786421
296,aquiraz,-3.9014,-38.3911,78.89000000000001,89,49,3.24,BR,1716786421
297,chernyshevsk,52.5243,117.0174,64.02200000000003,46,17,6.62,RU,1716786421
298,utrik,11.2278,169.8474,82.65200000000007,82,93,7.04,MH,1716786421
299,sisimiut,66.9395,-53.6735,28.65200000000008,88,96,2.2,GL,1716786421
300,kristiansund,63.1115,7.732,68.64800000000002,49,0,3.6,NO,1716786422
301,port arthur,38.8,121.2667,73.61600000000001,56,9,5.32,CN,1716786422
302,altamira,-3.2033,-52.2064,72.86000000000008,99,61,1.49,BR,1716786422
303,maintirano,-18.0667,44.0167,72.06800000000008,82,13,4.51,MG,1716786422
304,barakani,-12.1356,44.4317,79.592,67,34,6.19,KM,1716786422
305,ponoka,52.6768,-113.5815,51.89000000000002,89,100,1.82,CA,1716786423
306,taulaga,-11.0553,-171.0883,84.38000000000004,77,54,4.71,AS,1716786423
307,la passe,45.5549,-0.8967,57.97400000000001,81,60,3.52,FR,1716786423
308,zhosaly,45.4878,64.0781,75.16400000000003,30,25,2.77,KZ,1716786423
309,al ghayzah,16.2079,52.176,87.54800000000003,71,5,4.18,YE,1716786423
310,medebach,51.2,8.7167,53.312000000000054,93,100,1.29,DE,1716786423
311,broken hill,-31.95,141.4333,67.11800000000008,33,0,2.08,AU,1716786153
312,marsh harbour,26.5412,-77.0636,79.97000000000006,79,2,5.47,BS,1716786310
313,vizinga,61.0749,50.1031,45.06800000000008,57,81,4.76,RU,1716786424
314,ploneour-lanvern,47.9,-4.2833,52.088000000000044,93,100,1.54,FR,1716786424
315,isangel,-19.55,169.2667,77.108,69,75,3.6,VU,1716786424
316,kuanda,56.3161,116.0806,72.91400000000003,23,4,5.63,RU,1716786424
